Family-model,Version,Filename,EventType
GenuineIntel-6-2E,V1,NehalemEX_core.json,fp_arith_inst
GenuineIntel-6-1E,V1,NehalemEP_core.json,fp_arith_inst
GenuineIntel-6-1F,V1,NehalemEP_core.json,fp_arith_inst
GenuineIntel-6-1A,V1,NehalemEP_core.json,fp_arith_inst
GenuineIntel-6-2F,V1,WestmereEX_core.json,fp_arith_inst
GenuineIntel-6-25,V1,WestmereEP-SP_core.json,fp_arith_inst
GenuineIntel-6-2C,V1,WestmereEP-DP_core.json,fp_arith_inst
GenuineIntel-6-2A,V11,SandyBridge_core.json,fp_arith_inst
GenuineIntel-6-2D,V17,Jaketown_core.json,fp_arith_inst
GenuineIntel-6-3E,V16,IvyTown_core.json,fp_arith_inst
GenuineIntel-6-3A,V14,IvyBridge_core.json,fp_arith_inst
GenuineIntel-6-3C,V18,Haswell_core.json,fp_arith_inst
GenuineIntel-6-45,V18,Haswell_core.json,fp_arith_inst
GenuineIntel-6-46,V18,Haswell_core.json,fp_arith_inst
GenuineIntel-6-37,V8,Silvermont_core.json,fp_arith_inst
GenuineIntel-6-4D,V8,Silvermont_core.json,fp_arith_inst
GenuineIntel-6-1C,V1,Bonnell_core.json,fp_arith_inst
GenuineIntel-6-26,V1,Bonnell_core.json,fp_arith_inst
GenuineIntel-6-27,V1,Bonnell_core.json,fp_arith_inst
GenuineIntel-6-36,V1,Bonnell_core.json,fp_arith_inst
GenuineIntel-6-35,V1,Bonnell_core.json,fp_arith_inst
GenuineIntel-6-3F,V12,HaswellX_core.json,fp_arith_inst
